word	lemma	pos	wordfreq	lemfreq
wealthy	wealthy	j	21795	26746
wealthiest	wealthy	j	3065	26746
wealthier	wealthy	j	1886	26746
neither	neither	d	26586	26586
clothing	clothing	n	24904	24923
clothings	clothing	n	19	24923
nevertheless	nevertheless	r	24438	24438
thirty	thirty	m	24427	24427
healthcare	health-care	n	16548	23216
health-care	health-care	n	6668	23216
myth	myth	n	16291	22770
myths	myth	n	6479	22770
thread	thread	n	17014	22683
threads	thread	n	5669	22683
grandfather	grandfather	n	21504	22432
grandfathers	grandfather	n	901	22432
grand-father	grandfather	n	27	22432
furthermore	furthermore	r	22381	22381
catholics	Catholic	n	13910	22367
catholic	Catholic	n	8457	22367
withdraw	withdraw	v	8784	22109
withdrew	withdraw	v	5192	22109
withdrawn	withdraw	v	4767	22109
withdrawing	withdraw	v	2511	22109
withdraws	withdraw	v	855	22109
strengthen	strengthen	v	10682	21276
strengthened	strengthen	v	4514	21276
strengthening	strengthen	v	4045	21276
strengthens	strengthen	v	2035	21276
ethics	ethics	n	21228	21228
hypothesis	hypothesis	n	15500	20698
hypotheses	hypothesis	n	5198	20698
leather	leather	n	20037	20393
leathers	leather	n	356	20393
athletic	athletic	j	19650	19650
monthly	monthly	j	19414	19414
sixth	sixth	m	18547	18547
ethical	ethical	j	18367	18367
thanksgiving	Thanksgiving	n	18054	18234
thanksgivings	Thanksgiving	n	180	18234
this	this	r	17786	17786
rhythm	rhythm	n	13569	17605
rhythms	rhythm	n	4036	17605
nonetheless	nonetheless	r	17584	17584
thumb	thumb	n	12700	16776
thumbs	thumb	n	4076	16776
earthquake	earthquake	n	11834	16050
earthquakes	earthquake	n	4216	16050
mathematics	mathematics	n	15994	15994
theoretical	theoretical	j	15943	15943
bath	bath	n	12685	15725
baths	bath	n	3040	15725
northwest	northwest	n	15241	15505
north-west	northwest	n	264	15505
southwest	southwest	n	15185	15385
south-west	southwest	n	200	15385
thereby	thereby	r	15288	15288
altogether	altogether	r	14986	14986
therapist	therapist	n	10736	14907
therapists	therapist	n	4171	14907
seventh	seventh	m	14877	14877
enthusiasm	enthusiasm	n	14486	14777
enthusiasms	enthusiasm	n	291	14777
theology	theology	n	14166	14636
theologies	theology	n	470	14636
cloth	cloth	n	13249	14408
cloths	cloth	n	1159	14408
thief	thief	n	8449	14374
thieves	thief	n	5925	14374
southeast	southeast	n	13755	14046
south-east	southeast	n	291	14046
thoroughly	thoroughly	r	14022	14022
authorized	authorize	v	8114	13916
authorize	authorize	v	3073	13916
authorizing	authorize	v	1733	13916
authorizes	authorize	v	996	13916
gathering	gathering	n	10667	13824
gatherings	gathering	n	3157	13824
threshold	threshold	n	11228	13540
thresholds	threshold	n	2312	13540
worthy	worthy	j	13279	13410
worthier	worthy	j	86	13410
worthiest	worthy	j	45	13410
booth	booth	n	10469	13234
booths	booth	n	2765	13234
sympathy	sympathy	n	11797	13166
sympathies	sympathy	n	1369	13166
northeast	northeast	n	12803	13021
north-east	northeast	n	218	13021
theft	theft	n	11836	12907
thefts	theft	n	1071	12907
sweetheart	sweetheart	n	12190	12849
sweethearts	sweetheart	n	659	12849
thrive	thrive	v	6941	12742
thrived	thrive	v	2064	12742
thriving	thrive	v	1996	12742
thrives	thrive	v	1741	12742
eighth	eighth	m	12667	12667
throne	throne	n	7758	12528
thrones	throne	n	4770	12528
thou	thou	p	12383	12383
faithful	faithful	j	12238	12238
breathing	breathing	n	12092	12110
breathings	breathing	n	18	12110
thighs	thigh	n	6344	11981
thigh	thigh	n	5637	11981
