word	transcription	lemma	lem_trans	pos	wordfreq	lemfreq
rather	ɹæðɚ 	rather	ɹæðɚ 	r	115104	115104
that	ðæt 	that	ðæt 	r	112903	112903
growth	ɡɹoʊθ 	growth	ɡɹoʊθ 	n	109080	109567
growths	ɡɹoʊθs 	growth	ɡɹoʊθ 	n	487	109567
theory	θiəɹi 	theory	θiəɹi 	n	85835	107486
theories	θiəɹiz 	theory	θiəɹi 	n	21651	107486
authority	ɐθɔːɹɪɾi 	authority	ɐθɔːɹɪɾi 	n	65204	105586
authorities	ɐθɔːɹɪɾiz 	authority	ɐθɔːɹɪɾi 	n	40382	105586
method	mɛθəd 	method	mɛθəd 	n	54899	105544
methods	mɛθədz 	method	mɛθəd 	n	50645	105544
rather	ɹæðɚ 	rather	ɹæðɚ 	i	91475	91475
therefore	ðɛɹfoːɹ 	therefore	ðɛɹfoːɹ 	r	89981	89981
further	fɜːðɚ 	far	fɑːɹ 	j	51866	89074
farther	fɑːɹðɚ 	far	fɑːɹ 	j	3295	89074
farthest	fɑːɹðɪst 	far	fɑːɹ 	j	1328	89074
furthest	fɜːðɪst 	far	fɑːɹ 	j	792	89074
through	θɹuː 	through	θɹuː 	r	87238	87238
mouth	maʊθ 	mouth	maʊθ 	n	79265	86406
mouths	maʊðz 	mouth	maʊθ 	n	7141	86406
throughout	θɹuːaʊt 	throughout	θɹuːaʊt 	i	86381	86381
threat	θɹɛt 	threat	θɹɛt 	n	60969	85754
threats	θɹɛts 	threat	θɹɛt 	n	24785	85754
worth	wɜːθ 	worth	wɜːθ 	i	82178	82178
faith	feɪθ 	faith	feɪθ 	n	78563	80912
faiths	feɪθs 	faith	feɪθ 	n	2349	80912
path	pæθ 	path	pæθ 	n	60385	72335
paths	pæθs 	path	pæθ 	n	11950	72335
thousands	θaʊzəndz 	thousand	θaʊzənd 	n	42395	70404
thousand	θaʊzənd 	thousand	θaʊzənd 	n	28009	70404
otherwise	ʌðɚwaɪz 	otherwise	ʌðɚwaɪz 	r	69217	69243
other-wise	ʌðɚwaɪz 	otherwise	ʌðɚwaɪz 	r	26	69243
healthy	hɛlθi 	healthy	hɛlθi 	j	60736	69023
healthier	hɛlθiɚ 	healthy	hɛlθi 	j	7212	69023
healthiest	hɛlθiɪst 	healthy	hɛlθi 	j	1075	69023
strength	stɹɛŋθ 	strength	stɹɛŋθ 	n	58318	68537
strengths	stɹɛŋθs 	strength	stɹɛŋθ 	n	10219	68537
southern	sʌðɚn 	southern	sʌðɚn 	j	67179	67179
theater	θiəɾɚ 	theater	θiəɾɚ 	n	37529	63549
theatre	θiəɾɚ 	theater	θiəɾɚ 	n	16085	63549
theaters	θiəɾɚz 	theater	θiəɾɚ 	n	9139	63549
theatres	θiəɾɚz 	theater	θiəɾɚ 	n	796	63549
thousands	θaʊzəndz 	thousand	θaʊzənd 	m	38747	62833
thousand	θaʊzənd 	thousand	θaʊzənd 	m	24086	62833
birth	bɜːθ 	birth	bɜːθ 	n	56911	60673
births	bɜːθs 	birth	bɜːθ 	n	3762	60673
threatened	θɹɛʔn̩d 	threaten	θɹɛʔn̩ 	v	25525	59034
threatening	θɹɛʔn̩ɪŋ 	threaten	θɹɛʔn̩ 	v	15941	59034
threaten	θɹɛʔn̩ 	threaten	θɹɛʔn̩ 	v	11166	59034
threatens	θɹɛʔn̩z 	threaten	θɹɛʔn̩ 	v	6402	59034
clothes	kloʊðz 	clothes	kloʊðz 	n	58645	58660
clothe	kloʊð 	clothes	kloʊðz 	n	15	58660
gathered	ɡæðɚd 	gather	ɡæðɚ 	v	24704	57562
gather	ɡæðɚ 	gather	ɡæðɚ 	v	20847	57562
gathering	ɡæðɚɹɪŋ 	gather	ɡæðɚ 	v	9454	57562
gathers	ɡæðɚz 	gather	ɡæðɚ 	v	2557	57562
youth	juːθ 	youth	juːθ 	n	49776	57132
youths	juːθs 	youth	juːθ 	n	7356	57132
weather	wɛðɚ 	weather	wɛðɚ 	n	56529	56939
weathers	wɛðɚz 	weather	wɛðɚ 	n	410	56939
thursday	θɜːzdeɪ 	thursday	θɜːzdeɪ 	n	56611	56611
thinking	θɪŋkɪŋ 	thinking	θɪŋkɪŋ 	n	54185	54200
thinkings	θɪŋkɪŋz 	thinking	θɪŋkɪŋ 	n	15	54200
fourth	foːɹθ 	fourth	foːɹθ 	m	53036	53036
breath	bɹɛθ 	breath	bɹɛθ 	n	48877	52280
breaths	bɹɛθs 	breath	bɹɛθ 	n	3403	52280
theme	θiːm 	theme	θiːm 	n	32951	49821
themes	θiːmz 	theme	θiːm 	n	16870	49821
though	ðoʊ 	though	ðoʊ 	r	48909	48909
neither	niːðɚ 	neither	niːðɚ 	r	47463	47463
either	iːðɚ 	either	iːðɚ 	d	47446	47446
teeth	tiːθ 	tooth	tuːθ 	n	38017	46405
tooth	tuːθ 	tooth	tuːθ 	n	8376	46405
tooths	tuːθs 	tooth	tuːθ 	n	12	46405
bother	bɑːðɚ 	bother	bɑːðɚ 	v	23979	45596
bothered	bɑːðɚd 	bother	bɑːðɚ 	v	11485	45596
bothering	bɑːðɚɹɪŋ 	bother	bɑːðɚ 	v	5324	45596
bothers	bɑːðɚz 	bother	bɑːðɚ 	v	4808	45596
catholic	kæθlɪk 	Catholic	kæθlɪk 	j	45444	45444
thin	θɪn 	thin	θɪn 	j	39633	44274
thinner	θɪnɚ 	thin	θɪn 	j	4144	44274
thinnest	θɪnɪst 	thin	θɪn 	j	497	44274
northern	nɔːɹðɚn 	northern	nɔːɹðɚn 	j	43805	43805
forth	fɔːɹθ 	forth	fɔːɹθ 	r	42832	42832
birthday	bɜːθdeɪ 	birthday	bɜːθdeɪ 	n	40376	42727
birthdays	bɜːθdeɪz 	birthday	bɜːθdeɪ 	n	2351	42727
length	lɛŋθ 	length	lɛŋθ 	n	35404	42379
lengths	lɛŋθs 	length	lɛŋθ 	n	6975	42379
other	ʌðɚ 	other	ʌðɚ 	i	41717	41717
thick	θɪk 	thick	θɪk 	j	37134	41420
