word	transcription	lemma	lem_trans	pos	wordfreq	lemfreq
theirselves	θ.ɛ.ɹ.s.ɛ.l.v.z	themselves	ð.ɛ.m.s.ɛ.l.v.z	p	82	188414
them-selves	ð.ɛ.m.s.ɛ.l.v.z	themselves	ð.ɛ.m.s.ɛ.l.v.z	p	46	188414
theirself	θ.ɛ.ɹ.s.ɛ.l.f	themselves	ð.ɛ.m.s.ɛ.l.v.z	p	27	188414
either	iː.ð.ɚ	either	iː.ð.ɚ	r	181133	181133
brother	b.ɹ.ʌ.ð.ɚ	brother	b.ɹ.ʌ.ð.ɚ	n	118506	167417
brothers	b.ɹ.ʌ.ð.ɚ.z	brother	b.ɹ.ʌ.ð.ɚ	n	45520	167417
brethren	b.ɹ.ɛ.ð.ɹ.ə.n	brother	b.ɹ.ʌ.ð.ɚ	n	3391	167417
throw	θ.ɹ.o.ʊ	throw	θ.ɹ.o.ʊ	v	55237	152388
threw	θ.ɹ.uː	throw	θ.ɹ.o.ʊ	v	34126	152388
throwing	θ.ɹ.o.ʊ.ɪ.ŋ	throw	θ.ɹ.o.ʊ	v	26736	152388
thrown	θ.ɹ.o.ʊ.n	throw	θ.ɹ.o.ʊ	v	25707	152388
throws	θ.ɹ.o.ʊ.z	throw	θ.ɹ.o.ʊ	v	10459	152388
throwed	θ.ɹ.o.ʊ.d	throw	θ.ɹ.o.ʊ	v	123	152388
third	θ.ɜː.d	third	θ.ɜː.d	m	152339	152339
author	ɔː.θ.ɚ	author	ɔː.θ.ɚ	n	103950	142352
authors	ɔː.θ.ɚ.z	author	ɔː.θ.ɚ	n	38402	142352
truth	t.ɹ.uː.θ	truth	t.ɹ.uː.θ	n	135063	142017
truths	t.ɹ.uː.θ.s	truth	t.ɹ.uː.θ	n	6954	142017
thought	θ.ɔː.t	thought	θ.ɔː.t	n	82043	139016
thoughts	θ.ɔː.t.s	thought	θ.ɔː.t	n	56973	139016
north	n.ɔː.ɹ.θ	north	n.ɔː.ɹ.θ	n	137666	137666
earth	ɜː.θ	earth	ɜː.θ	n	133301	134202
earths	ɜː.θ.s	earth	ɜː.θ	n	901	134202
than	ð.ɐ.n	than	ð.ɐ.n	i	133168	133168
other	ʌ.ð.ɚ	other	ʌ.ð.ɚ	p	132728	132728
south	s.aʊ.θ	south	s.aʊ.θ	n	120894	120894
thus	ð.ʌ.s	thus	ð.ʌ.s	r	118653	118653
rather	ɹ.æ.ð.ɚ	rather	ɹ.æ.ð.ɚ	r	115104	115104
that	ð.æ.t	that	ð.æ.t	r	112903	112903
growth	ɡ.ɹ.o.ʊ.θ	growth	ɡ.ɹ.o.ʊ.θ	n	109080	109567
growths	ɡ.ɹ.o.ʊ.θ.s	growth	ɡ.ɹ.o.ʊ.θ	n	487	109567
theory	θ.i.ə.ɹ.i	theory	θ.i.ə.ɹ.i	n	85835	107486
theories	θ.i.ə.ɹ.i.z	theory	θ.i.ə.ɹ.i	n	21651	107486
authority	ɐ.θ.ɔː.ɹ.ɪ.ɾ.i	authority	ɐ.θ.ɔː.ɹ.ɪ.ɾ.i	n	65204	105586
authorities	ɐ.θ.ɔː.ɹ.ɪ.ɾ.i.z	authority	ɐ.θ.ɔː.ɹ.ɪ.ɾ.i	n	40382	105586
method	m.ɛ.θ.ə.d	method	m.ɛ.θ.ə.d	n	54899	105544
methods	m.ɛ.θ.ə.d.z	method	m.ɛ.θ.ə.d	n	50645	105544
rather	ɹ.æ.ð.ɚ	rather	ɹ.æ.ð.ɚ	i	91475	91475
therefore	ð.ɛ.ɹ.f.o.ː.ɹ	therefore	ð.ɛ.ɹ.f.o.ː.ɹ	r	89981	89981
further	f.ɜː.ð.ɚ	far	f.ɑː.ɹ	j	51866	89074
farther	f.ɑː.ɹ.ð.ɚ	far	f.ɑː.ɹ	j	3295	89074
farthest	f.ɑː.ɹ.ð.ɪ.s.t	far	f.ɑː.ɹ	j	1328	89074
furthest	f.ɜː.ð.ɪ.s.t	far	f.ɑː.ɹ	j	792	89074
through	θ.ɹ.uː	through	θ.ɹ.uː	r	87238	87238
mouth	m.aʊ.θ	mouth	m.aʊ.θ	n	79265	86406
mouths	m.aʊ.ð.z	mouth	m.aʊ.θ	n	7141	86406
throughout	θ.ɹ.uː.aʊ.t	throughout	θ.ɹ.uː.aʊ.t	i	86381	86381
threat	θ.ɹ.ɛ.t	threat	θ.ɹ.ɛ.t	n	60969	85754
threats	θ.ɹ.ɛ.t.s	threat	θ.ɹ.ɛ.t	n	24785	85754
worth	w.ɜː.θ	worth	w.ɜː.θ	i	82178	82178
faith	f.eɪ.θ	faith	f.eɪ.θ	n	78563	80912
faiths	f.eɪ.θ.s	faith	f.eɪ.θ	n	2349	80912
path	p.æ.θ	path	p.æ.θ	n	60385	72335
paths	p.æ.θ.s	path	p.æ.θ	n	11950	72335
thousands	θ.aʊ.z.ə.n.d.z	thousand	θ.aʊ.z.ə.n.d	n	42395	70404
thousand	θ.aʊ.z.ə.n.d	thousand	θ.aʊ.z.ə.n.d	n	28009	70404
otherwise	ʌ.ð.ɚ.w.aɪ.z	otherwise	ʌ.ð.ɚ.w.aɪ.z	r	69217	69243
other-wise	ʌ.ð.ɚ.w.aɪ.z	otherwise	ʌ.ð.ɚ.w.aɪ.z	r	26	69243
healthy	h.ɛ.l.θ.i	healthy	h.ɛ.l.θ.i	j	60736	69023
healthier	h.ɛ.l.θ.i.ɚ	healthy	h.ɛ.l.θ.i	j	7212	69023
healthiest	h.ɛ.l.θ.i.ɪ.s.t	healthy	h.ɛ.l.θ.i	j	1075	69023
strength	s.t.ɹ.ɛ.ŋ.θ	strength	s.t.ɹ.ɛ.ŋ.θ	n	58318	68537
strengths	s.t.ɹ.ɛ.ŋ.θ.s	strength	s.t.ɹ.ɛ.ŋ.θ	n	10219	68537
southern	s.ʌ.ð.ɚ.n	southern	s.ʌ.ð.ɚ.n	j	67179	67179
theater	θ.i.ə.ɾ.ɚ	theater	θ.i.ə.ɾ.ɚ	n	37529	63549
theatre	θ.i.ə.ɾ.ɚ	theater	θ.i.ə.ɾ.ɚ	n	16085	63549
theaters	θ.i.ə.ɾ.ɚ.z	theater	θ.i.ə.ɾ.ɚ	n	9139	63549
theatres	θ.i.ə.ɾ.ɚ.z	theater	θ.i.ə.ɾ.ɚ	n	796	63549
thousands	θ.aʊ.z.ə.n.d.z	thousand	θ.aʊ.z.ə.n.d	m	38747	62833
thousand	θ.aʊ.z.ə.n.d	thousand	θ.aʊ.z.ə.n.d	m	24086	62833
birth	b.ɜː.θ	birth	b.ɜː.θ	n	56911	60673
births	b.ɜː.θ.s	birth	b.ɜː.θ	n	3762	60673
threatened	θ.ɹ.ɛ.ʔ.n.̩.d	threaten	θ.ɹ.ɛ.ʔ.n.̩	v	25525	59034
threatening	θ.ɹ.ɛ.ʔ.n.̩.ɪ.ŋ	threaten	θ.ɹ.ɛ.ʔ.n.̩	v	15941	59034
threaten	θ.ɹ.ɛ.ʔ.n.̩	threaten	θ.ɹ.ɛ.ʔ.n.̩	v	11166	59034
threatens	θ.ɹ.ɛ.ʔ.n.̩.z	threaten	θ.ɹ.ɛ.ʔ.n.̩	v	6402	59034
clothes	k.l.o.ʊ.ð.z	clothes	k.l.o.ʊ.ð.z	n	58645	58660
clothe	k.l.o.ʊ.ð	clothes	k.l.o.ʊ.ð.z	n	15	58660
gathered	ɡ.æ.ð.ɚ.d	gather	ɡ.æ.ð.ɚ	v	24704	57562
gather	ɡ.æ.ð.ɚ	gather	ɡ.æ.ð.ɚ	v	20847	57562
gathering	ɡ.æ.ð.ɚ.ɹ.ɪ.ŋ	gather	ɡ.æ.ð.ɚ	v	9454	57562
gathers	ɡ.æ.ð.ɚ.z	gather	ɡ.æ.ð.ɚ	v	2557	57562
youth	j.uː.θ	youth	j.uː.θ	n	49776	57132
youths	j.uː.θ.s	youth	j.uː.θ	n	7356	57132
weather	w.ɛ.ð.ɚ	weather	w.ɛ.ð.ɚ	n	56529	56939
weathers	w.ɛ.ð.ɚ.z	weather	w.ɛ.ð.ɚ	n	410	56939
thursday	θ.ɜː.z.d.eɪ	thursday	θ.ɜː.z.d.eɪ	n	56611	56611
thinking	θ.ɪ.ŋ.k.ɪ.ŋ	thinking	θ.ɪ.ŋ.k.ɪ.ŋ	n	54185	54200
thinkings	θ.ɪ.ŋ.k.ɪ.ŋ.z	thinking	θ.ɪ.ŋ.k.ɪ.ŋ	n	15	54200
fourth	f.o.ː.ɹ.θ	fourth	f.o.ː.ɹ.θ	m	53036	53036
breath	b.ɹ.ɛ.θ	breath	b.ɹ.ɛ.θ	n	48877	52280
breaths	b.ɹ.ɛ.θ.s	breath	b.ɹ.ɛ.θ	n	3403	52280
theme	θ.iː.m	theme	θ.iː.m	n	32951	49821
themes	θ.iː.m.z	theme	θ.iː.m	n	16870	49821
though	ð.o.ʊ	though	ð.o.ʊ	r	48909	48909
neither	n.iː.ð.ɚ	neither	n.iː.ð.ɚ	r	47463	47463
either	iː.ð.ɚ	either	iː.ð.ɚ	d	47446	47446
teeth	t.iː.θ	tooth	t.uː.θ	n	38017	46405
tooth	t.uː.θ	tooth	t.uː.θ	n	8376	46405
tooths	t.uː.θ.s	tooth	t.uː.θ	n	12	46405
bother	b.ɑː.ð.ɚ	bother	b.ɑː.ð.ɚ	v	23979	45596
bothered	b.ɑː.ð.ɚ.d	bother	b.ɑː.ð.ɚ	v	11485	45596
bothering	b.ɑː.ð.ɚ.ɹ.ɪ.ŋ	bother	b.ɑː.ð.ɚ	v	5324	45596
bothers	b.ɑː.ð.ɚ.z	bother	b.ɑː.ð.ɚ	v	4808	45596
catholic	k.æ.θ.l.ɪ.k	Catholic	k.æ.θ.l.ɪ.k	j	45444	45444
thin	θ.ɪ.n	thin	θ.ɪ.n	j	39633	44274
thinner	θ.ɪ.n.ɚ	thin	θ.ɪ.n	j	4144	44274
thinnest	θ.ɪ.n.ɪ.s.t	thin	θ.ɪ.n	j	497	44274
northern	n.ɔː.ɹ.ð.ɚ.n	northern	n.ɔː.ɹ.ð.ɚ.n	j	43805	43805
forth	f.ɔː.ɹ.θ	forth	f.ɔː.ɹ.θ	r	42832	42832
birthday	b.ɜː.θ.d.eɪ	birthday	b.ɜː.θ.d.eɪ	n	40376	42727
birthdays	b.ɜː.θ.d.eɪ.z	birthday	b.ɜː.θ.d.eɪ	n	2351	42727
length	l.ɛ.ŋ.θ	length	l.ɛ.ŋ.θ	n	35404	42379
lengths	l.ɛ.ŋ.θ.s	length	l.ɛ.ŋ.θ	n	6975	42379
other	ʌ.ð.ɚ	other	ʌ.ð.ɚ	i	41717	41717
thick	θ.ɪ.k	thick	θ.ɪ.k	j	37134	41420
thicker	θ.ɪ.k.ɚ	thick	θ.ɪ.k	j	3466	41420
thickest	θ.ɪ.k.ɪ.s.t	thick	θ.ɪ.k	j	820	41420
athletes	æ.θ.l.iː.t.s	athlete	æ.θ.l.iː.t	n	27148	40094
athlete	æ.θ.l.iː.t	athlete	æ.θ.l.iː.t	n	12946	40094
breathe	b.ɹ.iː.ð	breathe	b.ɹ.iː.ð	v	20262	39322
breathing	b.ɹ.iː.ð.ɪ.ŋ	breathe	b.ɹ.iː.ð	v	12165	39322
breathed	b.ɹ.iː.ð.d	breathe	b.ɹ.iː.ð	v	5095	39322
breathes	b.ɹ.iː.ð.z	breathe	b.ɹ.iː.ð	v	1800	39322
bathroom	b.æ.θ.ɹ.uː.m	bathroom	b.æ.θ.ɹ.uː.m	n	35058	38712
bathrooms	b.æ.θ.ɹ.uː.m.z	bathroom	b.æ.θ.ɹ.uː.m	n	3633	38712
bath-room	b.æ.θ.ɹ.uː.m	bathroom	b.æ.θ.ɹ.uː.m	n	17	38712
