word	transcription	lemma	pos	wordfreq	lemfreq
theater	θiəɾɚ 	theater	n	37529	63549
theatre	θiəɾɚ 	theater	n	16085	63549
theaters	θiəɾɚz 	theater	n	9139	63549
theatres	θiəɾɚz 	theater	n	796	63549
thousands	θaʊzəndz 	thousand	m	38747	62833
thousand	θaʊzənd 	thousand	m	24086	62833
birth	bɜːθ 	birth	n	56911	60673
births	bɜːθs 	birth	n	3762	60673
threatened	θɹɛʔn̩d 	threaten	v	25525	59034
threatening	θɹɛʔn̩ɪŋ 	threaten	v	15941	59034
threaten	θɹɛʔn̩ 	threaten	v	11166	59034
threatens	θɹɛʔn̩z 	threaten	v	6402	59034
clothes	kloʊðz 	clothes	n	58645	58660
clothe	kloʊð 	clothes	n	15	58660
gathered	ɡæðɚd 	gather	v	24704	57562
gather	ɡæðɚ 	gather	v	20847	57562
gathering	ɡæðɚɹɪŋ 	gather	v	9454	57562
gathers	ɡæðɚz 	gather	v	2557	57562
youth	juːθ 	youth	n	49776	57132
youths	juːθs 	youth	n	7356	57132
weather	wɛðɚ 	weather	n	56529	56939
weathers	wɛðɚz 	weather	n	410	56939
thursday	θɜːzdeɪ 	thursday	n	56611	56611
thinking	θɪŋkɪŋ 	thinking	n	54185	54200
thinkings	θɪŋkɪŋz 	thinking	n	15	54200
fourth	foːɹθ 	fourth	m	53036	53036
breath	bɹɛθ 	breath	n	48877	52280
breaths	bɹɛθs 	breath	n	3403	52280
theme	θiːm 	theme	n	32951	49821
themes	θiːmz 	theme	n	16870	49821
though	ðoʊ 	though	r	48909	48909
neither	niːðɚ 	neither	r	47463	47463
either	iːðɚ 	either	d	47446	47446
teeth	tiːθ 	tooth	n	38017	46405
tooth	tuːθ 	tooth	n	8376	46405
tooths	tuːθs 	tooth	n	12	46405
bother	bɑːðɚ 	bother	v	23979	45596
bothered	bɑːðɚd 	bother	v	11485	45596
bothering	bɑːðɚɹɪŋ 	bother	v	5324	45596
bothers	bɑːðɚz 	bother	v	4808	45596
catholic	kæθlɪk 	Catholic	j	45444	45444
thin	θɪn 	thin	j	39633	44274
thinner	θɪnɚ 	thin	j	4144	44274
thinnest	θɪnɪst 	thin	j	497	44274
northern	nɔːɹðɚn 	northern	j	43805	43805
forth	fɔːɹθ 	forth	r	42832	42832
birthday	bɜːθdeɪ 	birthday	n	40376	42727
birthdays	bɜːθdeɪz 	birthday	n	2351	42727
length	lɛŋθ 	length	n	35404	42379
lengths	lɛŋθs 	length	n	6975	42379
other	ʌðɚ 	other	i	41717	41717
thick	θɪk 	thick	j	37134	41420
thicker	θɪkɚ 	thick	j	3466	41420
thickest	θɪkɪst 	thick	j	820	41420
athletes	æθliːts 	athlete	n	27148	40094
athlete	æθliːt 	athlete	n	12946	40094
breathe	bɹiːð 	breathe	v	20262	39322
breathing	bɹiːðɪŋ 	breathe	v	12165	39322
breathed	bɹiːðd 	breathe	v	5095	39322
breathes	bɹiːðz 	breathe	v	1800	39322
bathroom	bæθɹuːm 	bathroom	n	35058	38712
bathrooms	bæθɹuːmz 	bathroom	n	3633	38712
bath-room	bæθɹuːm 	bathroom	n	17	38712
therapy	θɛɹəpi 	therapy	n	32604	36823
therapies	θɛɹəpiz 	therapy	n	4219	36823
wealth	wɛlθ 	wealth	n	35662	35662
beneath	bᵻniːθ 	beneath	i	34337	34337
ethnic	ɛθnɪk 	ethnic	j	32857	32857
another	ɐnʌðɚ 	another	p	30791	30791
math	mæθ 	math	n	30465	30465
rather	ɹæðɚ 	rather	c	30233	30233
depth	dɛpθ 	depth	n	22897	30176
depths	dɛpθs 	depth	n	7279	30176
throat	θɹoʊt 	throat	n	27112	30071
throats	θɹoʊts 	throat	n	2959	30071
fifth	fɪfθ 	fifth	m	29510	29510
grandmother	ɡɹændmʌðɚ 	grandmother	n	26351	28091
